,日期,代码,名称,涨幅%,开买量,开卖量,买量,卖量,开盘,最高,最低,收盘,总量,量比,振幅%,总金额,开盘金额,内盘,外盘,内外比,攻击波%,回头波%,强弱度%,活跃度,笔均量,换手Z,当日___净流入,净买率%,当日___相对流量%,当日___超大单,当日___大单,当日___中单,当日___小单,BS,WIN,今日强,3日强,5日强,10日强,20日强,60日强,一年来,年初至今,涨幅%Rank,开买量Rank,开卖量Rank,买量Rank,卖量Rank,开盘Rank,最高Rank,最低Rank,收盘Rank,总量Rank,量比Rank,振幅%Rank,总金额Rank,开盘金额Rank,内盘Rank,外盘Rank,内外比Rank,攻击波%Rank,回头波%Rank,强弱度%Rank,活跃度Rank,笔均量Rank,换手ZRank,当日___净流入Rank,净买率%Rank,当日___相对流量%Rank,当日___超大单Rank,当日___大单Rank,当日___中单Rank,当日___小单Rank,BSRank,WINRank,今日强Rank,3日强Rank,5日强Rank,10日强Rank,20日强Rank,60日强Rank,一年来Rank,年初至今Rank
0,2021-06-23,17,深中华A,-3.08,6275,0,523,76,4.28,4.28,3.72,3.77,442574,7.98,14.4,18060.59,2035.45,207865,234709,0.89,1.34,-11.92,-4.09,2760,160,18.48,   1154万,1.01,6.39, -129.4万,  106.2万, -148.2万,   1325万,2760,0.812,-3.58,6.83,5.48,9.03,32.77,17.57,36.23,57.66,4155.0,56.0,4307.0,1228.0,2176.0,3765.0,3786.0,3907.0,3906.0,387.0,4.0,33.0,1210.0,67.0,406.0,367.0,3346.0,2056.0,4331.0,4187.0,1296.0,302.0,128.0,,103.0,924.0,,,,,1296.0,790.0,4155.0,413.0,970.0,807.0,279.0,931.0,581.0,270.0
1,2021-06-23,2181,粤 传 媒,3.64,121,2,1035,3717,4.5,4.83,4.5,4.55,203136,8.06,7.52,9484.81,213.17,106998,96138,1.11,1.11,-5.8,2.64,1495,136,5.49, -520.1万,-0.1,-5.48,  -96.0万, -404.2万, -132.5万,  112.5万,1495,0.37200000000000005,3.15,3.24,3.28,3.41,-0.59,1.87,-37.55,6.06,396.0,1198.0,3860.0,830.0,244.0,3704.0,3649.0,3694.0,3694.0,898.0,3.0,339.0,1878.0,647.0,871.0,918.0,2237.0,2343.0,4244.0,444.0,2707.0,409.0,1014.0,,2444.0,2115.0,,,,,2707.0,2618.0,393.0,978.0,1431.0,1762.0,3354.0,1945.0,2755.0,1633.0
2,2021-06-23,300400,劲拓股份,-19.99,130,297,23,0,22.05,22.55,18.37,18.37,233775,5.8,18.21,46223.64,294.15,127160,106615,1.19,0.0,-18.54,-21.0,3567,66,14.39,  -4137万,-1.23,-8.95,  -1463万,  -3213万, -603.8万,   1143万,3567,0.273,-20.48,-15.79,-12.06,-18.86,-14.37,36.98,11.7,48.78,4335.0,1136.0,672.0,2855.0,3092.0,1180.0,1179.0,1384.0,1423.0,782.0,10.0,15.0,530.0,506.0,735.0,831.0,1877.0,4268.0,4335.0,4335.0,754.0,1208.0,224.0,,4154.0,2473.0,,,,,754.0,3055.0,4332.0,4327.0,4307.0,4302.0,4248.0,439.0,914.0,365.0
3,2021-06-23,300482,万孚生物,-7.3,7,46,0,0,66.86,67.89,59.2,62.36,151064,6.11,12.92,93679.51,62.85,73359,77705,0.94,5.34,-8.15,-8.3,4571,33,6.8,   2819万,0.14,3.01,  608.9万,   1916万,  -16.9万,  311.0万,4571,0.249,-7.79,-10.02,-8.68,-11.53,-12.02,-2.41,-39.83,-7.39,4325.0,3268.0,1901.0,3562.0,3092.0,297.0,302.0,341.0,326.0,1177.0,9.0,52.0,217.0,1480.0,1249.0,1091.0,3091.0,299.0,4299.0,4325.0,154.0,2278.0,780.0,,790.0,1241.0,,,,,155.0,3164.0,4322.0,4305.0,4267.0,4256.0,4214.0,2373.0,2863.0,2946.0
4,2021-06-23,600545,卓郎智能,2.1,166,2557,4898,3130,3.54,3.66,3.38,3.4,1070479,7.38,8.41,37632.46,2835.12,442280,628199,0.7,0.59,-7.1,1.85,3585,299,11.92,   6655万,1.03,17.69,   2423万,   1056万,   2001万,   1175万,3585,0.433,1.61,12.08,13.94,12.37,13.61,2.82,-54.05,-1.63,722.0,981.0,106.0,233.0,282.0,3972.0,3953.0,4004.0,4016.0,94.0,5.0,262.0,660.0,43.0,128.0,75.0,4044.0,3284.0,4284.0,602.0,745.0,83.0,319.0,,101.0,284.0,,,,,745.0,2358.0,718.0,169.0,267.0,531.0,1145.0,1861.0,3448.0,2335.0
5,2021-06-23,600695,*ST绿庭,2.03,12952,0,2508,543,3.62,3.62,3.37,3.52,319863,6.26,7.25,11364.11,517.8,150552,169311,0.89,4.45,-2.76,1.78,2359,136,14.14,  675.4万,0.52,5.94, -498.7万,  474.4万,-4546.33,  700.1万,2359,0.7340000000000001,1.54,11.58,12.6,14.44,29.38,-17.31,-81.53,-47.54,745.0,32.0,4307.0,414.0,1115.0,3951.0,3963.0,4006.0,3977.0,565.0,8.0,379.0,1673.0,303.0,612.0,536.0,3346.0,448.0,3619.0,622.0,1641.0,409.0,230.0,,275.0,957.0,,,,,1641.0,1119.0,742.0,186.0,338.0,413.0,353.0,3773.0,3794.0,4090.0
6,2021-06-23,601007,金陵饭店,2.69,17,58,468,1180,8.17,8.41,8.15,8.39,58873,8.18,3.18,4908.64,3.92,16046,42827,0.37,2.94,-0.24,2.45,1352,44,3.47,   2235万,0.89,45.54,  443.0万,   1153万,  180.8万,  458.8万,1352,0.562,2.2,2.32,2.26,3.07,2.86,3.96,-14.78,7.43,553.0,2664.0,1706.0,1299.0,690.0,2750.0,2730.0,2728.0,2704.0,2223.0,2.0,1904.0,2728.0,3625.0,2993.0,1698.0,4334.0,861.0,343.0,477.0,2897.0,1825.0,1690.0,,131.0,2.0,,,,,2897.0,1853.0,550.0,1234.0,1726.0,1853.0,2645.0,1770.0,1586.0,1522.0
7,2021-06-23,601718,际华集团,9.93,708,258,28585,0,2.72,2.99,2.72,2.99,1429851,7.07,9.93,42198.63,98.82,835214,594637,1.4,9.93,0.0,9.68,2623,545,6.5,  -7306万,-0.56,-17.31,   2602万,  -3100万,  -3554万,  -3255万,2623,0.41700000000000004,9.43,12.38,11.09,11.55,14.78,8.39,-34.55,-0.09,72.0,359.0,741.0,53.0,3092.0,4169.0,4120.0,4165.0,4113.0,57.0,6.0,164.0,585.0,1126.0,40.0,82.0,1130.0,63.0,1.0,46.0,1425.0,16.0,820.0,,3872.0,3256.0,,,,,1425.0,2432.0,71.0,162.0,415.0,588.0,1027.0,1441.0,2610.0,2180.0
8,2021-06-23,603529,爱玛科技,10.0,1098474,0,60493,0,71.06,71.06,71.06,71.06,33034,9.83,0.0,23474.31,1021.25,32192,842,38.23,0.0,0.0,9.75,1176,28,5.08,  -2.23亿,-4.82,-94.89,  -7589万,  -6289万,  -4432万,  -3966万,1176,1.0,9.51,32.22,59.71,,,,,,42.0,3.0,4307.0,20.0,3092.0,277.0,287.0,268.0,279.0,2896.0,1.0,4320.0,1005.0,157.0,2187.0,4322.0,1.0,4268.0,1.0,32.0,3115.0,2534.0,1128.0,,4330.0,4335.0,,,,,3115.0,1.0,36.0,4.0,2.0,,,,,
9,2021-06-23,605001,威奥股份,-5.7,17,10,11,33,9.94,9.98,9.38,9.43,65212,6.32,6.0,6259.29,14.74,47230,17982,2.63,0.53,-5.51,-5.95,1440,45,3.81,  -2807万,-1.24,-44.84,   20.1万,  -1395万, -929.1万, -502.8万,1440,0.001,-6.19,-6.96,-7.95,-4.92,-4.06,-20.09,-66.96,-26.68,4310.0,2664.0,2984.0,3090.0,2514.0,2406.0,2434.0,2478.0,2494.0,2109.0,7.0,612.0,2405.0,2749.0,1743.0,2696.0,49.0,3423.0,4226.0,4296.0,2786.0,1793.0,1544.0,,4155.0,4287.0,,,,,2786.0,4327.0,4307.0,4268.0,4251.0,3906.0,3823.0,3921.0,3690.0,3940.0
